observation_date,3M_treasury_bill,10_yr_yield,Building_permits,Capacity_Utilization,Core_CPI,Credit_Spread_AAA,Credit_Spread_BAA,Disposable_Income,Employment,FedFunds,Housing_price_index,HOUST,Industrial_production,M1REAL,M2REAL,Nonfarm_Payrolls,Personal_Consumption,PPI,Real_GDP,Unemployment_Rate,CPI
1980-01-01 00:00:00,13.35,11.99,1156,84.0291,81.1,12.14,13.48,5197.725,99862,15.05,103.74,1246,52.0066,491.1,1888.4,90892,4534.348,90.442,7341.557,6.3,82.84975
1980-04-01 00:00:00,9.62,10.48,929,80.0143,81.1,11.2,13.36,5197.725,99078.25,12.69,103.74,1058,49.7923,472.3,1853.8,90457,4520.97325,90.442,7269.2955,7.3,82.84975
1980-07-01 00:00:00,9.15,10.95,1370,78.2504,81.4,11.58,13.17,5200.4,99078.25,9.84,104.43,1392,48.9737,479.8,1874.6,90051,4520.97325,91.167,7269.2955,7.7,83.233
1980-10-01 00:00:00,13.61,12.42,1333,80.7608,83.933,12.83,14.67,5270,99499,15.85,104.57,1505,50.8642,478.5,1862.3,90727,4541.39,93.267,7315.677,7.4,85.567
1981-01-01 00:00:00,14.39,12.96,1201,80.3862,85.9,13.16,15.25,5260.6,100239,16.57,105.07,1366,50.9827,472,1850.75,91116,4556.603,96.1,7459.022,7.4,87.933
1981-04-01 00:00:00,14.52,13.75,1113,80.0311,87.8,13.98,15.77,5265,100801,16.8225,107.34,1182,51.1392,474.3,1854.4,91356,4556.934,98.267,7403.745,7.4,89.767
1981-07-01 00:00:00,14.52,14.14,890,80.1772,90.767,14.695,16.48,5377.6,100482,16.8225,108.87,964,51.6211,463,1850.75,91548,4578.013,98.933,7492.405,7.4,92.267
1981-10-01 00:00:00,11.75,14.09,758,77.8036,92.533,14.62,16.68,5381.6,100077,13.59,107.52,873,50.4539,463,1853.3,91149,4546.699,98.833,7410.768,8.2,93.767
1982-01-01 00:00:00,12.81,14.14,831,75.7182,93.667,14.695,16.705,5394.4,99709,14.23,106.14,880,49.4215,467.7,1878.6,90521,4580.19,99.7,7295.631,8.8,94.6
1982-04-01 00:00:00,12.42,13.93,918,74.3826,95.4,14.51,16.705,5428,99745,14.51,108.61,948,48.8149,465.9,1891.4,90041,4594.142,99.8,7328.912,9.4,95.967
1982-07-01 00:00:00,9.32,13.12,1004,73.0266,97,13.75,16.25,5455.8,99543,11.01,106.85,1119,48.1272,463.1,1889.7,89356,4624.939,100.233,7300.896,9.9,97.633
1982-10-01 00:00:00,7.91,10.67,1243,71.452,97.333,11.88,14.39,5475.8,99120,9.29,111.54,1283,48.03465,480.2,1926.3,89266.75,4705.953,100.333,7303.817,10.475,97.933
1983-01-01 00:00:00,8.11,10.56,1457,72.1412,97.933,11.84,13.83,5530.6,99143,8.65,114.33,1630,48.03465,493.9,2031.1,89266.75,4752.481,100.367,7400.066,10.4,98
1983-04-01 00:00:00,8.4,10.54,1668,73.6833,98.9,11.57,13.25,5570.2,99945,8.8,115.79,1660,48.826,503.4,2059.6,89676,4849.254,100.733,7568.456,10.1,99.133
1983-07-01 00:00:00,9.14,11.63,1698,76.1145,100.133,12.34,13.53,5653,101611,9.46,116.81,1802,50.4923,509.9,2071.9,90604,4936.211,101.7,7719.746,9.4,100.1
1983-10-01 00:00:00,8.8,11.69,1670,77.9427,101.433,12.41,13.61,5775.8,102588,9.43,117.54,1729,51.8093,513.6,2088.7,91875,5014.874,102.2,7880.794,8.5,101.1
1984-01-01 00:00:00,9.17,11.94,1843,79.9779,102.833,12.28,13.74,5886.2,103664,9.69,119.28,1940,53.3411,514.9,2103.9,93086,5056.492,103.333,8034.847,7.9,102.533
1984-04-01 00:00:00,9.8,13.2,1777,80.8345,104.1,13.21,14.7,5981.3,105040,10.56,120.9,1823,54.1713,519.1,2129.1,94123,5127.332,104.033,8173.67,7.4,103.5
1984-07-01 00:00:00,10.32,12.87,1553,80.8866,105.4,12.99,14.71,6059.3,105363,11.39,122.03,1672,54.5357,518.8,2138.6,95055,5165.357,103.8,8252.465,7.4,104.4
1984-10-01 00:00:00,8.8,11.74,1586,80.3721,106.467,12.35,13.61,6109.4,105944,9.27,123.03,1630,54.5687,520,2167.4,95906,5232.266,103.533,8320.199,7.3,105.3
1985-01-01 00:00:00,8.18,11.58,1683,80.0461,107.633,12.26,13.39,6094.9,106615,8.48,124.73,1714,54.76,529.2,2212.2,96572,5321.159,103.267,8400.82,7.2,106.267
1985-04-01 00:00:00,7.46,10.81,1696,79.4801,108.767,11.63,13.02,6216.4,106791,7.92,126.63,1726,54.7901,537.1,2231.1,97270,5370.011,103.367,8474.787,7.3,107.233
1985-07-01 00:00:00,7.11,10.34,1807,78.8058,109.733,11.03,12.47,6199.3,107186,7.9,128.6,1701,54.7119,552.5,2264.4,97844,5472.014,102.667,8604.22,7.2,107.9
