series,transform_code,sw_factor,raw_mean,raw_std,trans_mean,trans_std,raw_missing,trans_missing,status
GDPC1,5,0,11633.503348,5932.015365,0.007404,0.010563,0,1,OK
PCECC96,5,0,7635.985513,4171.950937,0.007881,0.010245,0,1,OK
PCDGx,5,1,619.972524,571.397923,0.012932,0.03025,0,1,OK
PCESVx,5,1,5365.460109,2790.870779,0.007799,0.0105,0,1,OK
PCNDx,5,1,1768.046684,787.009473,0.006154,0.008401,0,1,OK
GPDIC1,5,0,1803.285558,1181.157209,0.009447,0.041131,0,1,OK
FPIx,5,0,1784.496042,1157.182671,0.009435,0.021251,0,1,OK
Y033RC1Q027SBEAx,5,1,493.816718,413.68965,0.012784,0.029774,0,1,OK
PNFIx,5,1,1258.416047,971.117278,0.011541,0.020449,0,1,OK
PRFIx,5,1,581.009354,207.014522,0.003756,0.044172,0,1,OK
A014RE1Q156NBEA,1,1,0.475655,0.587884,0.475655,0.587884,0,0,OK
GCEC1,5,0,2518.95015,823.2103,0.004724,0.009653,0,1,OK
A823RL1Q225SBEA,1,1,1.717978,7.044881,1.717978,7.044881,0,0,OK
FGRECPTx,5,1,2086.273152,1078.807825,0.007824,0.028502,0,1,OK
SLCEx,5,1,1527.407052,569.762254,0.005801,0.008411,0,1,OK
EXPGSC1,5,1,1033.312644,851.967095,0.012804,0.036646,0,1,OK
IMPGSC1,5,1,1302.482978,1122.566781,0.012995,0.035604,0,1,OK
DPIC96,5,0,8539.193895,4550.513792,0.007696,0.013836,0,1,OK
OUTNFB,5,0,56.176586,31.432614,0.008101,0.013716,1,2,OK
OUTBS,5,0,56.188504,31.409501,0.008053,0.013406,1,2,OK
OUTMS,5,0,89.865474,12.99146,0.003202,0.019465,113,114,OK
INDPRO,5,0,68.037624,26.846951,0.005689,0.018606,0,1,OK
IPFINAL,5,0,71.348932,27.247615,0.005491,0.01725,0,1,OK
IPCONGD,5,0,80.034468,23.145471,0.004188,0.015834,0,1,OK
IPMAT,5,0,63.178158,27.661257,0.006218,0.023133,0,1,OK
IPDMAT,5,1,52.821365,33.005872,0.007756,0.035591,0,1,OK
IPNMAT,5,1,85.937462,22.573399,0.004369,0.019354,0,1,OK
IPDCONGD,5,1,68.43928,28.444417,0.005999,0.047124,0,1,OK
IPB51110SQ,5,1,62.403476,27.671831,0.00622,0.083831,0,1,OK
